año,09405001 Río Curaco en Colico,09416001 Río Liucura en Liucura,09420001 Río Toltén en Villarrica,09414001 Río Trancura antes Llafenco,09412001 Río Trancura en Curarrehue
1900,,,,,
1901,,,,,
1902,,,,,
1903,,,,,
1904,,,,,
1905,,,,,
1906,,,,,
1907,,,,,
1908,,,,,
1909,,,,,
1910,,,,,
1911,,,,,
1912,,,,,
1913,,,,,
1914,,,,,
1915,,,,,
1916,,,,,
1917,,,,,
1918,,,,,
1919,,,,,
1920,,,,,
1921,,,,,
1922,,,,,
1923,,,,,
1924,,,,,
1925,,,,,
1926,,,,,
1927,,,,,
1928,,,,,
1929,,,,,
1930,,,251.43,,
1931,,,188.24,,
1932,,,248.1,,
1933,,,244.11,,
1934,,,339.58,,
1935,,,330.81,,
1936,,,339.44,,
1937,,,385.68,,
1938,,,338.08,,
1939,,,320.48,,
1940,,,,,
1941,,,,,
1942,,,281.81,,
1943,,,206.85,,
1944,,,317.32,,
1945,,,404.78,,
1946,,,285.68,,
1947,,,271.92,,
1948,,,291.62,,
1949,,,,,
1950,,,369.94,,
1951,,,424.4,,
1952,,,225.96,,
1953,,,334.48,,
1954,,,303.59,,
1955,,,236.39,,
1956,,,283.27,,
1957,,,267.64,,
1958,,,305.46,,
1959,,,296.68,,
1960,,,223.04,,
1961,,,,,
1962,,,181.85,,
1963,,,,,
1964,,,,,
1965,,,329.45,,
1966,,,268.48,,
1967,,,254.69,,
1968,,,203.05,,
1969,,,289.72,,32.61
1970,,,251.81,,27.63
1971,,,310.65,,36.49
1972,,44.96,347.56,157.94,36.06
1973,,,,,26.29
1974,,,220.2,,22.91
1975,,,,126.54,33.81
1976,,,247.69,109.45,32.51
1977,,38.19,327.98,142.31,38.4
1978,,38.58,,132.17,33.7
1979,,31.12,,119.3,32.6
1980,,37.08,315.26,138.92,34.93
1981,,,286.34,123.4,32.07
1982,,29.01,292.77,130.53,36.42
1983,,23.86,219.34,95.58,24.46
1984,,37.0,275.52,122.57,33.29
1985,,30.84,266.53,112.83,31.41
1986,,32.09,278.42,125.94,
1987,,24.65,227.51,99.01,28.74
1988,35.52,21.67,191.36,82.25,22.36
1989,,,179.96,75.49,20.69
1990,48.74,27.09,236.48,106.63,29.91
1991,44.18,,229.18,103.58,30.07
1992,56.07,,269.85,120.21,32.01
1993,,,337.77,154.76,40.68
1994,54.17,,284.04,130.48,35.26
1995,53.44,35.58,266.28,124.28,32.44
1996,,20.03,166.98,67.29,18.26
1997,60.98,37.43,296.63,138.9,38.69
1998,17.29,,131.78,52.7,14.47
1999,37.81,,191.26,81.87,22.84
2000,42.96,30.32,252.92,112.36,32.54
2001,49.05,33.25,282.18,129.79,34.2
2002,53.01,36.84,272.6,130.31,35.56
2003,43.75,,,,
2004,48.63,29.5,264.41,115.24,27.08
2005,53.1,36.18,281.25,127.3,32.49
2006,55.63,38.63,316.14,146.37,35.78
2007,36.31,24.77,,82.46,22.47
2008,,,,106.83,
2009,,,270.02,126.11,33.97
2010,,26.87,217.17,86.44,21.87
2011,,25.41,201.9,87.37,23.28
2012,,23.45,194.91,,
2013,42.84,26.52,,97.03,
2014,,28.96,238.19,109.26,28.2
2015,,,247.33,,
2016,26.15,,162.06,,
2017,42.97,,226.09,96.62,
2018,47.32,26.51,235.19,,28.04
2019,,,,,23.93
2020,,,,,
