año,rio_liucura_liucura,rio_tolten_villarrica,rio_curaco_colico,rio_trancura_curarrehue,rio_trancura_antes_llafenco
2000,31.0,253.0,48.0,32.0,112.0
2001,33.1,281.3,48.5,35.1,129.2
2002,36.6,274.1,52.7,35.4,129.7
2003,29.0,295.6,43.6,,113.9
2004,29.5,263.9,48.6,27.1,113.8
2005,36.0,280.2,52.9,32.4,126.9
2006,38.5,315.1,55.4,35.7,145.9
2007,24.7,194.7,36.1,22.4,82.2
2008,35.6,259.2,,27.9,106.5
2009,25.7,269.4,,33.7,125.4
2010,26.8,216.7,,21.8,86.3
2011,25.4,201.5,,23.1,86.7
2012,23.5,194.6,,16.6,83.3
2013,25.0,224.2,40.2,,91.4
2014,28.9,237.5,,30.1,109.3
2015,29.2,246.8,,25.1,92.3
2016,11.9,161.8,25.7,18.5,65.1
2017,26.0,225.5,42.8,27.7,105.1
2018,26.0,250.4,47.1,28.0,121.3
2019,23.1,215.5,,21.2,93.7
2020,17.9,172.8,,18.9,72.2
