año,Lago Caburga,Lago Colico,Lago Villarrica,Pucon,Cuenca alta Trafampulli
1950,2751.0,2539.0,2921.0,2921.0,2566.0
1951,2808.0,2613.0,3029.0,3029.0,2627.0
1952,2016.0,1892.0,2176.0,2176.0,1851.0
1953,3166.0,2860.0,3476.0,3476.0,2859.0
1954,2667.0,2492.0,2775.0,2775.0,2566.0
1955,1974.0,1777.0,2051.0,2051.0,1816.0
1956,2762.0,2617.0,3002.0,3002.0,2648.0
1957,3205.0,3070.0,3370.0,3370.0,3122.0
1958,2853.0,2756.0,3150.0,3150.0,2710.0
1959,2531.0,2311.0,2683.0,2683.0,2279.0
1960,2247.0,2077.0,2411.0,2411.0,2085.0
1961,2818.0,2516.0,3034.0,3034.0,2519.0
1962,1771.0,1608.0,1865.0,1865.0,1668.0
1963,3001.0,2817.0,3198.0,3198.0,2813.0
1964,2853.0,2642.0,3073.0,3073.0,2661.0
1965,2871.0,2699.0,3170.0,3170.0,2668.0
1966,3023.0,2749.0,3165.0,3165.0,2808.0
1967,2332.0,2137.0,2530.0,2530.0,2152.0
1968,2224.0,2044.0,2392.0,2392.0,2046.0
1969,2914.0,2671.0,3125.0,3125.0,2717.0
1970,2662.0,2406.0,2797.0,2797.0,2434.0
1971,2838.0,2470.0,3010.0,3010.0,2490.0
1972,2984.0,2861.0,3253.0,3253.0,2818.0
1973,2607.0,2444.0,2765.0,2765.0,2396.0
1974,2317.0,2156.0,2503.0,2503.0,2161.0
1975,3269.0,3035.0,3524.0,3524.0,3035.0
1976,2482.0,2376.0,2672.0,2672.0,2298.0
1977,3390.0,3247.0,3695.0,3695.0,3192.0
1978,2840.0,2767.0,3107.0,3107.0,2709.0
1979,2972.0,2878.0,3338.0,3338.0,2753.0
1980,3359.0,3285.0,3685.0,3685.0,3207.0
1981,3022.0,2998.0,3401.0,3401.0,2948.0
1982,3367.0,3278.0,3681.0,3681.0,3210.0
1983,2290.0,2171.0,2468.0,2468.0,2166.0
1984,3140.0,3003.0,3302.0,3302.0,3051.0
1985,2558.0,2506.0,2825.0,2825.0,2444.0
1986,3104.0,2965.0,3401.0,3401.0,2891.0
1987,2427.0,2399.0,2761.0,2761.0,2270.0
1988,2258.0,2137.0,2386.0,2386.0,2163.0
1989,2286.0,2163.0,2444.0,2444.0,2142.0
1990,2736.0,2578.0,2943.0,2943.0,2545.0
1991,2820.0,2746.0,3016.0,3016.0,2740.0
1992,2780.0,2762.0,3004.0,3004.0,2755.0
1993,3372.0,3197.0,3665.0,3665.0,3160.0
1994,3058.0,3031.0,3333.0,3333.0,2902.0
1995,2857.0,2603.0,2966.0,2966.0,2712.0
1996,1973.0,1882.0,2107.0,2107.0,1867.0
1997,3596.0,3424.0,3917.0,3917.0,3423.0
1998,1348.0,1214.0,1482.0,1482.0,1245.0
1999,2259.0,2148.0,2440.0,2440.0,2127.0
2000,3016.0,2845.0,3265.0,3265.0,2814.0
2001,2923.0,2736.0,3161.0,3161.0,2735.0
2002,3186.0,3018.0,3503.0,3503.0,2972.0
2003,2642.0,2541.0,2860.0,2860.0,2452.0
2004,2829.0,2639.0,3031.0,3031.0,2652.0
2005,3068.0,2924.0,3274.0,3274.0,2896.0
2006,3315.0,3150.0,3654.0,3654.0,3122.0
2007,2235.0,2069.0,2352.0,2352.0,2108.0
2008,2718.0,2562.0,2956.0,2956.0,2561.0
2009,3305.0,3010.0,3469.0,3469.0,3049.0
2010,2438.0,2238.0,2595.0,2595.0,2273.0
2011,2418.0,2268.0,2620.0,2620.0,2316.0
2012,2665.0,2556.0,2955.0,2955.0,2470.0
2013,2396.0,2272.0,2610.0,2610.0,2236.0
2014,2998.0,2815.0,3251.0,3251.0,2813.0
2015,2738.0,2625.0,3008.0,3008.0,2557.0
2016,1932.0,1898.0,2097.0,2097.0,1864.0
2017,2635.0,2950.0,3509.0,3520.0,3074.0
2018,2684.0,2929.0,3118.0,3359.0,3002.0
2019,2471.0,2723.0,2688.0,3139.0,2827.0
2020,2314.0,2478.0,2476.0,2804.0,2419.0
2021,1852.0,2068.0,2142.0,2378.0,2144.0
2022,2910.0,3130.0,2930.0,3347.0,3301.0
2023,3141.0,3400.0,3390.0,3648.0,3268.0
2024,2910.0,2993.0,2929.0,3184.0,2850.0
2025,2221.0,2321.0,2268.0,2659.0,2253.0
