año,09401001 Tricauco,09412002 Curarrehue,09412003 Puesco,09414002 Llafenco,09416002 Lago Tinquilco,09417001 Lago Caburgua,09417002 Ojos del Caburgua,09420002 Pucón
1965,,,,3580.5,,,,
1966,,,,3496.6,,,,
1967,,,,3347.0,,,,
1968,,,,3463.0,,,,
1969,,,,3352.6,,,,
1970,,,,2847.3,,,,
1971,,,,3169.8,,,,
1972,,,,3985.7,,,,
1975,,,,1964.6,,,,
1976,,,,2798.5,,,,
1977,,2546.5,,4073.9,,4371.0,,
1978,,2408.8,,3713.5,,3738.0,,
1979,,2674.3,,3462.0,,3670.0,,
1980,,3029.0,,3900.0,,4213.2,,
1981,,2237.3,,3306.0,,3527.0,,
1982,,2529.5,,3438.0,,4104.5,,
1983,,1900.2,,2393.0,,3255.4,,
1984,,2916.4,,3463.5,,4030.1,,
1985,,2184.1,,3540.0,,2545.0,,2203.2
1986,,2892.4,,3821.0,,3245.3,,2100.2
1987,,2285.4,,3033.5,,2858.0,,1937.5
1988,,1562.0,2527.3,2995.0,,2597.0,,1586.9
1989,1893.6,1728.5,2929.9,2881.4,,2361.4,,1643.8
1990,1793.3,1526.2,3750.4,3537.0,,2942.0,,1728.1
1991,2324.9,1995.3,3889.2,3555.0,,3510.6,,2411.3
1992,2784.6,2667.4,3345.7,3952.5,,3761.1,,2447.7
1993,2982.5,3444.7,4764.6,4455.2,,5191.5,,2584.4
1994,2846.7,3165.0,4515.1,3978.0,,3761.2,,2141.4
1995,2362.7,2646.1,2943.9,3618.0,,3669.6,,2188.9
1996,1632.4,1782.0,2493.0,2646.5,,2383.0,,1729.7
1997,2642.5,3044.6,3985.3,4469.5,,4055.8,,2783.6
1998,1185.1,1397.0,791.2,1724.5,1697.7,1412.0,,1146.4
1999,1807.7,2356.0,2503.1,3079.5,2833.1,,2896.6,1850.2
2000,2367.9,3132.5,,3621.5,3257.6,,,2486.9
2001,2288.4,2813.5,3521.0,3114.5,3374.9,,,2033.2
2002,,3485.0,4885.5,4380.5,3957.4,,,2610.8
2003,1937.0,2374.0,3662.0,3274.0,2980.9,,,2285.5
2004,2045.9,2698.0,2962.8,3566.5,3073.1,,,2322.3
2005,2276.3,3223.5,3958.9,3661.0,3729.4,,,2621.7
2006,2542.0,3331.5,3370.0,4034.0,4205.3,,4384.1,2606.8
2007,1519.7,2149.1,,2604.0,2342.0,,2849.2,1887.4
2008,1895.8,2603.5,3970.4,3197.0,2779.0,,3055.5,2141.1
2009,2717.5,3266.0,4330.5,3841.5,3701.8,,,2552.7
2010,1768.7,2270.5,2952.4,2668.0,2679.9,2397.3,,1956.8
2011,1806.5,2333.0,3071.1,2992.5,2637.3,2157.1,,2247.8
2012,1805.7,2325.0,2415.1,2824.0,2386.4,2468.5,,2067.5
2013,1808.4,2212.5,2810.6,2917.4,2415.4,2121.8,,1600.6
2014,2040.0,2464.8,2983.1,3298.5,2366.5,2379.5,,2164.7
2015,1857.1,2653.8,,3506.0,2487.2,2507.7,,2323.2
2016,1096.4,1611.0,1984.4,2264.0,1839.1,1461.3,,1437.4
2017,,,,,,,,2149.0
2018,1810.5,2571.0,3521.4,3423.0,2857.5,2451.2,,2176.9
2019,,,,,,,,1056.6
