año,curarrehue,lago_caburgua,lago_tinquilco,llafenco,pucon,tricauco
2000,3133,,,3622,2487,2368
2001,2814,3315,3258,3115,2033,2288
2002,3485,2397,3375,4381,2611,2394
2003,2374,2157,3957,3274,2286,1937
2004,2698,2469,2981,3567,2322,2046
2005,3224,2122,3073,3661,2622,2276
2006,3332,2380,3729,4034,2607,2542
2007,2149,2508,4205,2604,1887,1520
2008,2604,1583,2342,3197,2141,1896
2009,3266,2051,2779,3842,2553,2718
2010,2271,2451,3702,2668,1957,1769
2011,2333,2109,2680,2993,2248,1807
2012,2325,1775,2637,2824,2068,1806
2013,2213,,2386,2917,1601,1808
2014,2465,,2415,3299,2165,2040
2015,2654,,2367,3506,2323,1857
2016,1721,,2487,2395,1533,1180
2017,2282,,1966,3163,2080,1544
2018,2571,,2755,3423,2293,1811
2019,2405,,2858,2544,,1422
2020,2106,,2755,2611,,1205
